time,open,high,low,close,volume,ticker
2019-03-01,6900,6900,6900,6900,37940,ITD
2019-03-04,6900,7100,6900,7100,36140,ITD
2019-03-05,7100,7100,6900,7100,14270,ITD
2019-03-06,6940,7230,6940,7170,224810,ITD
2019-03-07,7270,7270,7100,7170,80680,ITD
2019-03-08,7360,7360,7170,7230,122000,ITD
2019-03-11,7230,7730,7230,7660,452120,ITD
2019-03-12,7690,8189,7690,8189,137130,ITD
2019-03-13,8650,8740,8280,8480,209000,ITD
2019-03-14,8220,8510,8090,8420,168140,ITD
2019-03-15,8250,8510,8250,8510,42430,ITD
2019-03-18,8880,8880,8350,8380,69670,ITD
2019-03-19,8550,8610,8220,8220,78630,ITD
2019-03-20,8050,8220,7890,7960,82430,ITD
2019-03-21,8450,8450,8090,8150,84020,ITD
2019-03-22,8220,8220,7690,7890,58090,ITD
2019-03-25,7560,7760,7500,7560,107430,ITD
2019-03-26,7560,7890,7560,7760,19240,ITD
2019-03-27,7820,8220,7690,8020,33780,ITD
2019-03-28,7890,8119,7690,7820,22130,ITD
2019-03-29,7790,7820,7690,7790,28980,ITD
2019-04-01,7730,7760,7690,7730,35350,ITD
2019-04-02,7820,7820,7690,7790,15310,ITD
2019-04-03,7760,7960,7760,7820,11390,ITD
2019-04-04,7820,8220,7820,8150,43110,ITD
2019-04-05,8550,8550,7990,8150,32990,ITD
2019-04-08,8450,8450,7990,8020,13910,ITD
2019-04-09,8150,8150,7960,7960,9650,ITD
2019-04-10,7960,7960,7560,7890,26750,ITD
2019-04-11,7990,8020,7890,7990,5450,ITD
2019-04-12,8020,8020,7990,8020,4740,ITD
2019-04-16,8020,8020,7820,7820,67950,ITD
2019-04-17,7760,7960,7630,7760,16380,ITD
2019-04-18,7690,7860,7560,7560,57260,ITD
2019-04-19,7560,8090,7560,7690,10070,ITD
2019-04-22,7690,7890,7560,7820,32700,ITD
2019-04-23,7820,7820,7560,7560,20910,ITD
2019-04-24,7960,8020,7630,7630,7880,ITD
2019-04-25,7630,8020,7630,7820,44530,ITD
2019-04-26,7630,7820,7590,7690,13160,ITD
2019-05-02,7760,7760,7560,7630,21610,ITD
